nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
fédération des mouvements personne d'abord du québec,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P7",Concertation pour la défense des droits et des intérêts des personnes vivant avec une déficience intellectuelle. Répertoire en ligne des MPDA: www.fmpdaq.ca/nos-projets Mobilisation et sensibilisatio,514 585-8074,info@fmpdaq.ca,fmpdaq.ca,le Québec,adultes vivant ou ayant été étiquetés avec une déficience intellectuelle,provincial
parents pour la déficience intellectuelle,"3958, rue Dandurand, 1er étage, bureau 5 Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Promotion et défense des droits et intérêts, représentation. Information, références, sensibilisation. Ateliers et soirées conférences thématiques mensuelles.",514 376-6644,pardi@pardi.quebec,pardi.quebec,île de Montréal,"parents ou proches aidants, responsables de personnes vivant avec une déficience intellectuelle",montreal
proche aidance québec,"3958, rue Dandurand, bureau 22 Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Regroupement des associations, groupes et organismes locaux et régionaux qui ont pour mission d'améliorer la qualité de vie des personnes proches aidantes au Québec. Sensibilisation de la population e...",514 524-1959,info@procheaidance.quebec,procheaidance.quebec,le Québec,organismes communautaires soutenant les personnes proches aidantes,provincial
société québécoise de la déficience intellectuelle,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Promotion des intérêts et défense des droits des personnes vivant avec une déficience intellectuelle et de leur famille. Information et sensibilisation. Organisation de sessions de formation, de collo...",514 725-7245,info@sqdi.ca,www.sqdi.ca/fr,le Québec,"personnes vivant avec une déficience intellectuelle, leur famille, associations, organismes et personnes ayant un intérêt pour le sujet",provincial
action autonomie - collectif pour la défense des droits en santé mentale de montréal,"3958, rue Dandurand, 3e étage Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Relation d'aide, soutien, accompagnement et référence. Information sur les droits et recours. Défense des droits, sensibilisation et formation. Représentation et press",514 525-5060,lecollectif@actionautonomie.qc.ca,www.actionautonomie.qc.ca,île de Montréal,,montreal
maison des hommes sourds,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P9","Information, accompagnement et références. Activités sociales et récréatives. Groupes de soutien et d'entraide. Atelier préventif et éducatif pour les pères et leurs enfants. Ateliers de prévention, é...",438 476-1401,info@mhsourds.org,www.mhsourds.org,Grand Montréal,hommes sourds ou malentendants de 14 ans et plus,grand_montreal
habitations nouvelles avenues,"3950, rue Beaubien Est, bureau 101 Rosemont—La Petite-Patrie Montréal QC H1X 3M8","Soutien communautaire, logements subventionnés et non-subventionnés pour personnes aînées. Appartements 3½ avec surveillance 24 heures, 7 jours. Forfait services: dîners fournis les jours ouvrables, c...",514 376-9141,admin@hnave.com,habitations-nouvelles-avenues.com,"Montréal, priorité à Rosemont-La-Petite-Patrie, logements subventionnés: codes postaux H1T, H1X, H1Y, H2S, H2G, H2A","logements non-subventionnés: personnes de 60 ans et plus autonomes ou en légère perte d'autonomie, logements subventionnés: personnes de 65 ans et plus autonomes ou en légère perte d'autonomie",local
association des bibliothèques publiques du québec,"1453, rue Beaubien Est, bureau 215 Rosemont—La Petite-Patrie Montréal QC H2G 3C6","Organe de leadership et de développement des bibliothèques publiques du Québec. Formation continue. Concertation, mobilisation et représentation. Information sur différents programmes offerts aux bibl...",514 279-0550,info@abpq.ca,www.abpq.ca,Québec,bibliothèques publiques québécoises,provincial
cégep de rosemont - clinique tact,"6400, 16e Avenue, local B-511 Rosemont—La Petite-Patrie Montréal QC H1X 2S9",Clinique d'auriculothérapie sans rendez-vous composées de personnes étudiantes sous la supervision d'un·e maître de stage.- Traitement NADA (National Acupuncture Detoxification Association): protocole...,514 376-1620 poste 7353,,,île de Montréal,,montreal
cégep de rosemont - clinique d'acupuncture,"6400, 16e Avenue, porte A-200 Rosemont—La Petite-Patrie Montréal QC H1X 2S9","Traitements d'acupuncture à prix modique donnés par des personnes étudiantes sous la supervision d'un·e maître de stage. Traitements traditionnels d'acupuncture, traitements en groupe, traitements d'a...",514 376-1620 poste 7353,acupcomptoir@crosemont.qc.ca,www.crosemont.qc.ca/services/services-au-public/clinique-ecole-acupuncture,île de Montréal,,montreal
cégep de rosemont,"6400, 16e Avenue Rosemont—La Petite-Patrie Montréal QC H1X 2S9","Établissement public d'enseignement de niveau collégial. Programmes préuniversitaires et techniques (DEC), attestation d'études collégiales (AEC). Formation continue et services aux entreprises. Affil...",514 376-1620,registrariat@crosemont.qc.ca,www.crosemont.qc.ca,le Québec,CPE Rosemonde: 18 mois à 5 ans,provincial
j'me fais une place en garderie,"3490, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1N1",Ressource favorisant l'intégration en service de garde des enfants ayant une déficience motrice. Soutien et information aux parents dans la recherche d'un service de garde. Réseautage. Formation sur l...,514 593-5135,info@jmfpg.org,jmfpg.org,île de Montréal,"familles avec enfant de moins de 5 ans ayant une déficience motrice, associée ou non à une autre déficience",montreal
admi - montréal,"5675, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X6","Activités de loisirs, physiques, sportives, sociales et culturelles. Camps de jour d'été. Journées plein air. Activités de fin de semaine. Ligue de quilles. Dépannage-répit de fin de semaine. Informat...",514 527-7671,info@admi-montreal.org,admi-montreal.org,île de Montréal,personnes de 6 ans et plus vivant avec une déficience intellectuelle,montreal
cégep à distance,"6300, 16e Avenue Rosemont—La Petite-Patrie Montréal QC H1X 2S9","Centre collégial public voué à la formation à distance. Programmes préuniversitaires et techniques (DEC), attestation d'études collégiales (AEC). Service de planification d'études et choix de cours. S...",514 864-6464,infoscol@cegepadistance.ca,cegepadistance.ca,le Québec,,provincial
