nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire,secteur,secteur_secondaire,exclu
fédération des mouvements personne d'abord du québec,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P7",Concertation pour la défense des droits et des intérêts des personnes vivant avec une déficience intellectuelle. Répertoire en ligne des MPDA: www.fmpdaq.ca/nos-projets Mobilisation et sensibilisatio,514 585-8074,info@fmpdaq.ca,fmpdaq.ca,le Québec,adultes vivant ou ayant été étiquetés avec une déficience intellectuelle,provincial,defense_droits,sante,non
parents pour la déficience intellectuelle,"3958, rue Dandurand, 1er étage, bureau 5 Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Promotion et défense des droits et intérêts, représentation. Information, références, sensibilisation. Ateliers et soirées conférences thématiques mensuelles.",514 376-6644,pardi@pardi.quebec,pardi.quebec,île de Montréal,"parents ou proches aidants, responsables de personnes vivant avec une déficience intellectuelle",montreal,sante,defense_droits,non
proche aidance québec,"3958, rue Dandurand, bureau 22 Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Regroupement des associations, groupes et organismes locaux et régionaux qui ont pour mission d'améliorer la qualité de vie des personnes proches aidantes au Québec. Sensibilisation de la population e...",514 524-1959,info@procheaidance.quebec,procheaidance.quebec,le Québec,organismes communautaires soutenant les personnes proches aidantes,provincial,sante,,non
société québécoise de la déficience intellectuelle,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Promotion des intérêts et défense des droits des personnes vivant avec une déficience intellectuelle et de leur famille. Information et sensibilisation. Organisation de sessions de formation, de collo...",514 725-7245,info@sqdi.ca,www.sqdi.ca/fr,le Québec,"personnes vivant avec une déficience intellectuelle, leur famille, associations, organismes et personnes ayant un intérêt pour le sujet",provincial,defense_droits,sante,non
action autonomie - collectif pour la défense des droits en santé mentale de montréal,"3958, rue Dandurand, 3e étage Rosemont—La Petite-Patrie Montréal QC H1X 1P7","Relation d'aide, soutien, accompagnement et référence. Information sur les droits et recours. Défense des droits, sensibilisation et formation. Représentation et press",514 525-5060,lecollectif@actionautonomie.qc.ca,www.actionautonomie.qc.ca,île de Montréal,,montreal,sante,defense_droits,non
maison des hommes sourds,"3958, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1P9","Information, accompagnement et références. Activités sociales et récréatives. Groupes de soutien et d'entraide. Atelier préventif et éducatif pour les pères et leurs enfants. Ateliers de prévention, é...",438 476-1401,info@mhsourds.org,www.mhsourds.org,Grand Montréal,hommes sourds ou malentendants de 14 ans et plus,grand_montreal,soutien_vulnerabilite,sante,non
j'me fais une place en garderie,"3490, rue Dandurand Rosemont—La Petite-Patrie Montréal QC H1X 1N1",Ressource favorisant l'intégration en service de garde des enfants ayant une déficience motrice. Soutien et information aux parents dans la recherche d'un service de garde. Réseautage. Formation sur l...,514 593-5135,info@jmfpg.org,jmfpg.org,île de Montréal,"familles avec enfant de moins de 5 ans ayant une déficience motrice, associée ou non à une autre déficience",montreal,developpement_enfants_familles,sante,non
admi - montréal,"5675, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X6","Activités de loisirs, physiques, sportives, sociales et culturelles. Camps de jour d'été. Journées plein air. Activités de fin de semaine. Ligue de quilles. Dépannage-répit de fin de semaine. Informat...",514 527-7671,info@admi-montreal.org,admi-montreal.org,île de Montréal,personnes de 6 ans et plus vivant avec une déficience intellectuelle,montreal,sports_loisirs_tourisme,sante,oui
action main-d'oeuvre,"3320, boulevard Rosemont Rosemont—La Petite-Patrie Montréal QC H1X 1K3","Consultation individuel et développement de l'employabilité. Aide à la recherche d'emploi. Préparation aux entrevues, présentation aux employeur·euse·s, si requis, et adaptation de l'environnement de ...",514 721-4941,info@actionmaindoeuvre.ca,www.actionmaindoeuvre.ca,île de Montréal,personnes de 16 ans et plus autistes sans déficience intellectuelle ou vivant avec une déficience intellectuelle légère,montreal,emploi,soutien_vulnerabilite,non
gamblers anonymes,Montréal QC,Groupes d'entraide auprès des joueurs compulsifs. Ligne téléphonique d'information sur les rencontres. Liste des réunions sur le site web.,514 484-6666,info@gaquebec.org,gaquebec.org,le Québec,personnes vivant avec un problème de jeu compulsif,provincial,soutien_vulnerabilite,,non
entraide ukrainienne de montréal,"3300, boulevard Rosemont, bureau 210 Rosemont—La Petite-Patrie Montréal QC H1X 1K2",Organisme de maintien des personnes aînées dans la communauté. Informations et références. Traduction et aide pour remplir des documents. Jumelage avec des personnes âgées: visites lors de célébration...,514 729-9540,entraid1@bellnet.ca,,Ile de Montréal,personnes aînées d'origine ukrainienne,montreal,sante,autres_missions_sociales,non
association d'aide et de loisirs pour personnes à autonomie réduite,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Activités sociales, récréatives, culturelles et sportives. Formation: vieillissement et gérontologie. Programme de rapprochement interculturel. Groupes de soutien et d'entraide. Appels",514 524-7328,direction@alpar.ca,alpar.ca,Grand Montréal,"personnes aînées de 55 ans et plus ayant des limites physiques en raison de l'âge, la maladie ou un handicap, leurs proches aidants",grand_montreal,sante,sports_loisirs_tourisme,oui
projet inclusion,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Projets conçus pour réduire et prévenir les problèmes de santé mentale au sein de la communauté. Espaces inclusifs, accueillants, dédiés à la création et interaction entre citoyen·ne·s: ateliers d'art...",514 255-1054,info@pceim.ca,pceim.ca,île de Montréal,"personnes confrontées à un manque extrême de réponses sociales à leurs besoins fondamentaux d'appartenance, de participation et de compréhension",montreal,sante,arts_culture_medias,oui
corpuscule danse,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Recherche, création et diffusion de spectacles de danse inclusive. Cours et ateliers de danse inclusive pour personnes avec ou sans handicap, visible ou invisible.",,infos@corpusculedanse.com,corpusculedanse.com,île de Montréal,"personnes à mobilité réduite, personnes avec une déficience intellectuelle légère à moyenne",montreal,arts_culture_medias,sante,oui
collectif - employabilité,"4155, rue Bélanger Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1T 1A2",Accompagnement et accueil des nouveaux arrivants. Service d'aide à l'emploi: centre cyberemploi et formations. Emplois hors de Montréal pour personnes immigrantes: www.emploisenregions.ca/emploi-immig...,514 374-7999,emploi@cfiq.ca,www.cfiq.ca,le Québec,personnes immigrantes,provincial,emploi,autres_missions_sociales,non
centre d'aide nouveau départ,"4506, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1T 1B6",Lutte contre la pauvreté et briser l'isolement des personnes défavorisées. Dépannage alimentaire incluant de la viande. Paniers de Noël.,,conseillant576@gmail.com,,île de Montréal,personnes à faible revenu,montreal,bien_etre_alimentaire,soutien_vulnerabilite,non
fondation des aveugles du québec,"5112, rue de Bellechasse Rosemont—La Petite-Patrie Montréal QC H1T 2A4",Activités visant à améliorer la qualité de vie des personnes aveugles. Volet jeunesse: activités sportives et récréatives. Volet habitation: gestion de cinq complexes d'habitation pour personnes aveug...,1 855 249-5112,info@aveugles.org,fondationdesaveugles.org,le Québec,personnes aveugles,provincial,sante,sports_loisirs_tourisme,oui
bon pilote (le),"5112, rue de Bellechasse Rosemont—La Petite-Patrie Montréal QC H1T 2A4",Amélioration des conditions de vie des personnes vivant avec une déficience visuelle ou en perte de mobilité. Service de guide et d'accompagnement sans voiture. Appels de soutien et visites d'amitié. ...,514 593-5454,info@lebonpilote.org,lebonpilote.org,"Boucherville, Brossard, Longueuil, Saint-Lambert, Beloeil, Saint-Bruno-de-Montarville, île de Montréal","personnes vivant avec une déficience visuelle, personnes aînées à mobilité réduite",grand_montreal,sante,soutien_vulnerabilite,non
villa exprès pour toi,"4655, rue Euclide-Brien, bureau 1 Rosemont—La Petite-Patrie Montréal QC H1X 3K4",Logements sociaux avec activités communautaires. Activités sociocommunautaires. Aide alimentaire pour personnes résidentes. Paniers de Noël pour personnes résidentes.,,ca.vept.4655@gmail.com,,île de Montréal,"personnes seules de 18 ans et plus, autonomes, en situation économique précaire, à risque d'itinérance",montreal,logement,bien_etre_alimentaire,non
trajet inc. - service de médiation et d'accompagnement à la résolution de conflits,"3566, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1X 1A7","Service de médiation et d'accompagnement à la résolution de conflits. Problèmes liés au bruit. Problèmes liés la propriété (clôture, haies, neige, rénovation) pour les l",514 521-2000 poste 245,info@trajetoja.org,trajetoja.org,île de Montréal,"adultes, adolescent·e·s, personnes âgées",montreal,defense_droits,,non
clinique pour la justice migrante,"3600, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1X 1B1","Clinique juridique communautaire défendant les droits civils, politiques et socioéconomiques des personnes migrantes à statut précaire. Services juridiques holitiques, vulgarisation et information jur...",514 523-6666,info@cjm-mjc.org,cliniquejusticemigrante.org/fr,le Québec,"personnes migrantes à statut précaire, personnes oeuvrant auprès des personnes migrantes",provincial,defense_droits,soutien_vulnerabilite,non
buffets insère-jeunes,"5188, rue Beaubien Est Rosemont—La Petite-Patrie Montréal QC H1T 1W1","Entreprise d'insertion sociale et professionnelle. Formation BIS: expérience de travail rémunérée de 6 mois en cuisine, formation technique comme aide-cuisinier ou aide-pâtissier, suivi individuel, at...",514 593-7705,formation@traiteurbis.qc.ca,traiteurbis.qc.ca,île de Montréal,"personnes de 16 ans et plus, service de traiteur: grand public",montreal,emploi,bien_etre_alimentaire,non
