Organisme,Description,Secteur,Courriel,Téléphone
Jumeleurs / Espace Communautaire (Les),"Repas congelés. Recrutement et accompagnement des bénévoles. Maison des jeunes neurodivergent·e·s. Activités, projets spéciaux, formations, soutien communautaire, démystification, etc. Jumelage sociop...",Action communautaire,info@jumeleurs.ca,514 374-9050
Agir En Amont,"Hébergement supervisé pour jeunes adultes s'identifiant au genre masculin, en situation de vulnérabilité et à risque d'itinérance. Durée maximale de 3 ans. Soutien communautaire adapté à la réalité pe...","Enfance, jeunesse et famille",tournant@aubergeletournant.org,514 523-2157
Bibliothèque Pour Enfants Norman Berman (La),"Bibliothèque publique juive pour enfants. Prêt et consultation de livres, films, musique et livres de référence. Ateliers d'alphabétisation. Ateliers d'artisanat.","Enfance, jeunesse et famille",info@jplmontreal.org,514 345-2627
Opération Bonne Mine,Programme en persévérance scolaire. Aide financière pour la rentrée scolaire. Activités socioculturelles et artistiques. Bourses de persévérance scolaire.,"Enfance, jeunesse et famille",programme@ssvp-mtl.org,514 526-5937 poste 121
Mission Old Brewery - Pavillon Webster - Service D'urgence,"Service d'urgence et d'accompagnement vers le logement. Programmes pour personnes vivant un premier épisode d'itinérance et en santé urbaine (santé mentale, santé physique et consommation d'alc",Itinérance,info@missionoldbrewery.ca,514 798-2244
Rue Des Femmes (La) - Maison Dorimène,Appartements supervisés: durée de 2 ans. Soutien par une intervenante psychosociale.,Itinérance,info@laruedesfemmes.org,514 284-9665
Perspective Autonomie En Santé Mentale,Organisme composé de pair·e·s aidant·e·s qui accompagnent les personnes qui sont en processus de rétablissement. Écoute et soutien à toute personne éprouvant des difficultés de santé mentale ou vivant...,Santé mentale et dépendances,info@pasm-pairaidance.org,514 759-7276
Sida Bénévoles Montréal,Centre de ressources pour personnes vivant avec le VIH-SIDA ou l'hépatite C.Soutien Gestion de cas: orientation et référence. Groupes de soutien coanimés par un·e membre et un·e intervenant·e. Groupes...,Santé mentale et dépendances,info@accmontreal.org,514 527-0928
Amal-Centre Pour Femmes,"Centre promouvant le bien-être des femmes aux plans individuel et familial. Soutien psychosocial pour les victimes de violence conjugale, de conflits familiaux ou matrimoniaux. Consultation individuel...",Violence et maltraitance,info@amalwomencenter.ca,514 855-0330 poste 1
Option - Une Alternative À La Violence Conjugale Et Familiale,"Accueil, évaluation et référence. Psychothérapie de groupe pour adultes ayant des comportements violents dans le couple et la famille. Possibilité de thérapie individuelle, de couple et fami",Violence et maltraitance,info@optionalternative.org,514 527-1657 poste 101
