Organisme,Description,Secteur,Courriel,Téléphone
Association Jamaïcaine De Montréal,"Soutien à la communauté jamaïcaine. Banque alimentaire. Aide aux immigrant·e·s jamaïcain·ne·s: aide avec le passeport jamaïcain, aide à l'application pour la citoyenneté canadienne, informations et ré...",Autres missions sociales,info@jam-montreal.com,514 737-8229
Comité Des Usagers De L'hôpital Maisonneuve-Rosemont,Comité des personnes usagères. Renseignements sur les droits et les obligations. Défense des droits et intérêts. Accompagnement dans les démarches pour porter plainte.,Défense des droits,cusagers.hmr@ssss.gouv.qc.ca,514 252-3925
Équipe Rdp,Organisme contribuant au développement social et à l'amélioration de la qualité de vie de la population. Programme de loisirs. Programme d'intervention sociale: prévention de la marginalisation et de ...,Développement communautaire,info@equiperdp.ca,514 643-3872
Escale Famille Le Triolet,Halte-garderie pour enfants de 0 à 5 ans. Halte-parent: café-rencontre pour parents. Ateliers d'enrichissement de l'expérience parentale. Activités parents-enfants. Ateliers culinaires. Ateliers d'exp...,Développement des enfants et des familles,info@eflt.net,514 252-0289
Relais Des Jeunes Familles (Le) - Hébergement 8573-8583,"Appartements supervisés pour jeunes parents. Séjour de trois ans. Soutien à l'acquisition de l'autonomie. Insertion sociale, scolaire et professionnelle.",Développement des enfants et des familles,intervenants@relaisdesjeunesfamilles.org,514 326-0784
Sentier Urbain,Promotion du verdissement social. École de la forêt. Affiliation sociale. Circuit jardins. Centre d'interprétation Becs et Jardins. Agriculture urbaine.,Environnement,info@sentierurbain.org,514 521-9292
Arborescence,"Soutien aux proches des personnes vivant avec un trouble de santé mentale. Ligne d'écoute et de références. Groupes de soutien. Rencontres individuelles, de couple et familiales. Conférences et atelie...",Santé,accueil@arborescence.quebec,514 524-7131
Association Pulmonaire Du Québec - Groupe D'entraide Maladies Pulmonaires - Montréal/Verdun,"Groupe d'entraide virtuels offerts aux personnes atteintes de maladies respiratoires, aux membres de la famille et aux proches aidant·e·s. Conférence et période",Santé,info@poumonquebec.ca,1 888 768-6669 poste 230
Chsld Juif Donald Berman,Centre d'hébergement public pour personnes aînées et personnes en perte d'autonomie. Hébergement et soins de longue durée. Centre de jour avec services thérapeutiques pour personnes non-hébergées.,Santé,—,514 738-4500
Sans Oublier Le Sourire,Services pour adultes vivant avec une déficience intellectuelle. Centre de jour. Activités sportives. Club de marche et de piscine. Club pour personnes aînées. Sensibilisation. Concertation.,Santé,sansoublierlesourire@hotmail.com,514 522-2280 poste 220
Service Des Toxicomanies - Médecine Urbaine,Clinique de désintoxication interne et externe. Évaluation et identification des soins (internes ou externes). Traitements médicaux et pharmacologiques. Suivi psychosocial. Références pour la continui...,Santé,stmu.hnd.ccsmtl@ssss.gouv.qc.ca,514 413-8736
"Chez Doris, La Fondation Du Refuge Pour Femmes - Halte Chaleur Hivernale",Halte-chaleur. Lits en dortoir et fauteuils inclinables. Collation et breuvages. Couvertures et oreillers fournis.,Soutien aux personnes en situation de vulnérabilité,info@chezdoris.org,514 937-2341 poste 260
Projets Autochtones Du Québec,Intervention de crise. Repas chauds. Programme Nouveau Départ: soutien holistique aux autochtones nouvellement arrivés en ville. Refuges d'urgence: un étage pour les femmes et un pour les hommes. Cham...,Soutien aux personnes en situation de vulnérabilité,info@paqc.org,514 879-3310
"Stella, L'amie De Maimie",Soutien pour les travailleuses du sexe. Information et référence. Ligne d'écoute. Accompagnement. Travail de rue. Travail auprès des femmes incarcérées. Distribution de seringues et de condoms. Liste ...,Soutien aux personnes en situation de vulnérabilité,info@chezstella.org,514 285-1599
Fadoq - Région Île De Montréal,Activités récréatives et sportives. Programme privilèges: rabais sur divers produits et services. Représentation et défense des droits.,"Sports, loisirs et tourisme",info@fadoqmtl.org,514 271-1411
