Organisme,Description,Secteur,Courriel,Téléphone
Association Féministe D'éducation Et D'action Sociale,"Information, action sociale et promotion de questions de condition féminine. Défense des intérêts et représentation.",Défense des droits,info@afeas.qc.ca,514 251-1636
Association Québécoise Plaidoyer-Victimes,"Promotion et défense des droits et intérêts des victimes d'actes criminels. Information, soutien et orientation des victimes. Production et diffusion d'outils d'information. Programmes de formation. A...",Défense des droits,aqpv@aqpv.ca,514 526-9037
"Centre De Recherche De Montréal Sur Les Inégalités Sociales, Les Discriminations Et Les Pratiques Alternatives De Citoyenneté",Infrastructure de recherche sur les inégalités sociales.Publications et productions.Balados.Formations.,Défense des droits,cremis.ccsmtl@ssss.gouv.qc.ca,514 527-9565 poste 3776
Réseau Des Services Spécialisés De Main-D'oeuvre,Regroupement d'organismes offrant des services spécialisés en employabilité pour personnes sous-représentées sur le marché du travail. Projet FIT (Formation Intégration Travail) : accompagnement pour ...,Emploi,info@rssmo.qc.ca,514 904-1544
Accompagnateur (L'),"Plateforme web permettant aux parents de personnes handicapées de trouver des ressources. Ressources variées: éducation, habitation, loisirs, ressources financières, santé, services aux familles, tran...",Santé,info@laccompagnateur.org,514 382-0310 poste 402
Diabète Québec - Infodiabète,Services d'informations médicales. Information et référence sur le diabète offert par des professionnel·le·s de la santé. Programme de suivi du diabète en télémédecine offert aux personnes sans médeci...,Santé,infodiabete@diabete.qc.ca,1 800 361-3504 poste 1
Fondation Cheshire (Québec) (La) - Résidence Pat Khal Sunshine,Logement de transition pour personnes ayant des problèmes de santé mentale. Soutien à l'intégration dans la communauté.,Santé,fondationcheshire@gmail.com,514 472-0133
Fondation Matthew Coustou D'un Continent À L'autre,"Soutien aux enfants vivant un handicap ou une maladie. Soutien personnalisé pour les familles: écoute téléphonique, groupe de soutien, référence, information. Santé des enfants: achat d'équipements ad...",Santé,info@fondation-matthewcoustou.org,514 373-9000
Société Huntington Du Québec,"Ateliers de stimulation sensorimotrice hebdomadaires pour les personnes atteintes. Écoute, soutien et références. Documentation en ligne. Groupe d'entraide ouvert pour les proches aidant·e·s et les fa...",Santé,shq@huntingtonqc.org,1 877 282-2444
Maison L'alcôve,Centre de traitement en dépendance interne et externe à durée variable. Programme distinct pour les dépendances aux substances. Programme distinct pour la dépendance au jeu. Programme mixé pour les dé...,Soutien aux personnes en situation de vulnérabilité,info@maisonlalcove.com,450 773-7333
