nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
Accès-Travail de Montréal-Carrefour jeunesse-emploi Hochelaga-Maisonneuve,"Volet Accès-Travail: Service d'orientation scolaire et service d'accompagnement en emploi pour les personnes de 18 ans et plus, vivant particulièrement dans l'est de Montréal. Volet CJEHM: accompagnement personnalisé en emploi pour les 15-35 d'Hochelaga-Maisonneuve. Orientation professionnelle, soutien à la persévérance scolaire, références psychosociales, clinique d'impôt gratuite.",Emploi / Éducation et formation,reception@accestravail.qc.ca,514 259-4690-514 523-2400,www.accestravail.qc.ca- www.cjehm.org,Local
alliance de commerces mexicains à montréal,"Services diversifiés aux communautés de la diversité ethnoculturelle. Banque alimentaire, formulaire d'inscription en ligne: bookeo.com/acomm-ca/customer Café latino communautaire. Formation professio...",Développement communautaire / Bien Etre Alimentaire,info@acomm.ca,514 886-8141,acomm.ca,Local
anonyme (l') - autobus (l'),"Unité mobile qui offre soutien psychosocial, matériel de protection et accès à un espace sécuritaire de consommation. Aide, information et soutien. Distribution de matériel de protection et de consomm...",Santé / Soutien aux personnes vulnérables,proximite@anonyme.ca,263 993-6701,anonyme.ca,Local
Association pour la défense des droits sociaux du Montréal métropolitain,"Clinique d'impôt

Exercice du droit de vote en situation d'itinérance",Défense des droits / Soutien aux personnes vulnérables,addsmm2013@gmail.com,514-523-0707,,Local
ATD Quart Monde,"Dans Hochelaga, nous animons une bibliothèque de rue dans le parc Edmond-Hamelin, au coin des rues Joliette et Sainte-Catherine.  Chaque semaine, nous apportons des livres et nous lisons avec les enfants.
À chaque été, nous organisons le Festival des savoirs partagés dans le même parc.  Ce festival  du début août rassemble des personnes qui partagent un savoir, un talent ou un hobby.
Des adultes participent également à notre Université populaire Quart Monde qui permet aux participantes et participants d'exprimer leur savoir sur des sujets variés, selon le thème.",Développement communautaire / Éducation et formation,atdcanada@atdquartmonde.ca,514-279-0468,https://www.atdquartmonde.ca/,Local
Ateliers d'Antoine,"Ateliers d’Antoine forme des jeunes de 16 à 35 ans dans le domaine de l’ébénisterie, favorise leur intégration socioprofessionnelle et améliore, par ses produits, la vie urbaine.

Le parcours d’une durée de 26 semaines offre une formation pratique afin de développer des compétences techniques en ébénisterie, un suivi personnalisé et un support à la recherche d’emploi tout en ayant un statut de salarié.

Grâce à un partenariat avec le Centre de ressources éducatives et pédagogiques (CREP) du Centre de services scolaire de Montréal (CSSDM), un certificat de formation à un métier semi-spécialisé (CFMS) et un statut d’étudiant sont offerts à nos travailleurs en formation admissibles.

Ateliers d’Antoine se spécialise dans la conception de mobilier urbain depuis plus de 20 ans.",Emploi / Éducation et formation,antoine@ateliersdantoine.com,514-256-5557,ateliersdantoine.com,Local
Auberge du coeur Le Foyer,"L’Auberge du cœur Le Foyer est un organisme à but non lucratif. Nous offrons de l’accompagnement et de l’hébergement aux jeunes adultes de 18 à 30 ans dans le but de prévenir l’itinérance. Nous proposons un espace sécuritaire, ouvert à tous et à toutes et exempt de jugement. Chaque jeune adulte a son propre parcours, et nous sommes là pour l’accompagner dans ses démarches, aussi variées soient-elles.",Soutien aux personnes vulnérables / Logement,info@aubergelefoyer.ca,5145223198,info@aubergelefoyer.ca,Local
Avant Coup,"Avant Coup offre un accompagnement psychosocial via un programme thérapeutique destiné aux hommes auteurs de comportements violents en contexte conjugal ou entre partenaires intimes.

En complément au programme auteurs, Avant Coup offre des services d'hébergement d'urgence ou court terme, ainsi qu'une ligne d'écoute et un clavardage 24/7.

Dans le cadre de son rayonnement au sein de la communauté, l'équipe offre également des services de formations, ateliers et conférences en sensibilisation à la problématique de violence conjugale.",Soutien aux personnes vulnérables / Santé,ac@avantcoup.ca,4383804884 ext. 0,www.avantcoup.ca,Local
CAP St-Barnabé,"Ancré au cœur d’Hochelaga-Maisonneuve, le CAP St-Barnabé accueille chaque jour des hommes, des femmes, des couples et leurs animaux, en situation d’itinérance ou à risque de le devenir. Avec plus de 350 places d’hébergement d’urgence, nous offrons un hébergement sécuritaire, des repas et un accompagnement personnalisé.

Au-delà des besoins immédiats, nous soutenons les personnes dans leurs démarches de santé, de logement et de réaffiliation sociale. Le CAP gère également 60 logements sociaux répartis dans quatre immeubles, permettant à des individus de retrouver stabilité et dignité.",Soutien aux personnes vulnérables / Logement,info@capstbarnabe.org,514-251-2081,capstbarnabe.org,Local
Carrefour Familial Hochelaga,"Lieu de soutien, de ressourcement et d’entraide, le Carrefour Familial Hochelaga accueille les familles qui désirent améliorer leur qualité de vie et s’épanouir.

La mission se déploie à travers 3 services: 

MAISON DE LA FAMILLE
La Maison de la famille propose une programmation saisonnière en quatre volets: périnatalité, en famille, parentalité et services aux familles. Elle offre le Frigo-don, une halte-garderie et du soutien familial. 

MAISON GLANEUSES
20 logements communautaires de 3 à 5 ans dédiés aux familles vulnérables. 

MAISON OXYGÈNE MONTRÉAL
Maison Oxygène Montréal offre un hébergement et un soutien psychosocial aux pères vivant une difficulté personnelle, sociale, familiale ou conjugale et qui ont à coeur de consolider le lien avec leurs enfants.",Développement enfants et familles / Soutien aux personnes vulnérables,info@carrefourfamilial.com,514 523-9283,https://carrefourfamilial.com/,Local
carrefour parenfants,"Développement des enfants et soutien aux parents. Activités, ateliers éducatifs. Aide scolaire. Stimulation précoce. Développement des compétences parentales.",Développement enfants et familles / Éducation et formation,info@carrefourparenfants.org,514 259-6127,www.carrefourparenfants.org,Local
Carrefour Parenfants,"Plusieurs services offerts:

bébé kangourou,  la petite école,  Copains-Copines, Entre'ados, adultes, capacités financières.",Développement enfants et familles / Éducation et formation,info@carrefourparenfants.org,514 259-6127,https://www.carrefourparenfants.org,Local
centre communautaire multi-ethnique de montréal-nord,"Aide à l'intégration des membres des communautés culturelles. Comptoir alimentaire au 6343, rue Pierre, H1G 2P2. Information et référence. Activités socioculturelles. Traduction et assermentation. Ca",Autres missions sociales / Bien Etre Alimentaire,ccmemn13@yahoo.ca,514 329-5044,www.centremultiethnic-mtln.org,Local
