nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
atelier des lettres en alphabétisation,"Ateliers de lecture et d'écriture, de calcul, d'informatique. Activités et projets. Prise de parole publique. Journal de participants. Réunions. Vie associative: fêtes, dîners communautaires, cuisine ...",Éducation et formation / Développement communautaire,latelierdeslettres@outlook.com,514 524-0507,www.atelierdeslettres.org,Montréal
atelier majuscule,"Entreprise d'insertion offrant des services d'impression numérique pour les entreprises, les organismes, les institutions et les particulier·ère·s afin de soutenir les personnes vivant des situations ...",Emploi / Soutien aux personnes vulnérables,recrutement@ateliermajuscule.ca,514 277-7535,www.ateliermajuscule.ca,Montréal
ateliers quatre saisons (les),"Service occupationnel et thérapeutique pour des personnes ayant un vécu psychiatrique. Types de travail effectués: empaquetage, assemblage, triage, encartage. Une allocation est accordée.",Santé / Emploi,info@ateliers4saisons.com,514 640-4747,,Montréal
auberge transition,"Hébergement d'urgence pour femmes et enfants victimes de violence conjugale. Soutien, accompagnement, références et suivi post-hébergement. Soutien de groupe. Service d'urgence téléphonique 24 heures,...",Soutien aux personnes vulnérables / Logement,direction@aubergetransition.org,514 481-0495,aubergetransition.org,Montréal
autisme montréal,"Service d'accueil, écoute et d'entraide. Groupe de soutien et d'entraide pour les personnes autistes de haut niveau; conférences et formations. Infolettre. Centre de documentation qui permet un servic...",Santé / Soutien aux personnes vulnérables,accueil@autisme-montreal.com,514 524-6114,autisme-montreal.com,Montréal
avant coup,Accompagne les hommes dans leur désir de travailler sur leurs comportements violents. Accompagnement dans le processus de changement de comportement. Sensibilisation au développement d'alternatives à ...,Soutien aux personnes vulnérables / Défense des droits,ac@avantcoup.ca,438 380-4884 poste 1,avantcoup.ca,Montréal
axia services,"Centre de travail adapté pour personnes en situation de handicap. Entretien ménager commercial, location de main-d'oeuvre, agence de sécurité (gardiennage), entreposage et service d'emballage de march...",Emploi / Soutien aux personnes vulnérables,je.arsenault@axiaservices.com,514 642-3250,www.axiaservices.com,Montréal
bazar de l'église saint-paul-de-la-croix,"Magasin d'aubaines. Vente et récupération sur place de vêtements et souliers pour toute la famille, ustensiles de cuisine, petits électroménagers, décorations, livres et magazines, bijoux, tissus, jou...",Développement communautaire / Bien Etre Alimentaire,paroisse.stpauldelacroix@videotron.ca,514 389-0206,,Montréal
bienvenue à l'immigrant,"Accueil et orientation des personnes immigrantes. Aide à l'intégration socio-profesionnelle et à l'intégration générale. Éducation financière. Ateliers: francisation, leadership, estime de soi et pers...",Autres missions sociales / Emploi,info@bienvenueimmigrant.org,438 239-8828,www.bienvenueimmigrant.org,Montréal
black healing fund,Organisme communautaire qui collecte et distribue des fonds aux personnes Noires à faible revenu de la région de Tio'tia:ke / Montréal qui recherchent des services axés sur la santé mentale. Fonds dis...,Santé / Soutien aux personnes vulnérables,blackhealingfund@gmail.com,,www.blackhealingfund.com/page-daccueil,Montréal
